Ms,layer,acc_tgt
60,2,0.3118742574361291
60,3,0.3913934399910815
60,4,0.483307177690385
60,5,0.47082036896047996
60,6,0.3960572710507615
60,7,0.3047054572036096
60,8,0.2107503519656285
60,9,0.22174377783558943
60,10,0.1947939135774377
90,2,0.415732038694703
90,3,0.4558478292678909
90,4,0.5253789119380068
90,5,0.5161095983996314
90,6,0.5169156225581673
90,7,0.5032434125199942
90,8,0.29791786307968865
90,9,0.3168882336855759
90,10,0.2616604333045874
120,2,0.37090442116731254
120,3,0.481663244285452
120,4,0.6008614486804241
120,5,0.5747040416253543
120,6,0.5649862496259996
120,7,0.34586147974919407
120,8,0.417403691733756
120,9,0.4387808773290469
120,10,0.31672493601133905
150,2,0.42524253506774157
150,3,0.552291755875547
150,4,0.6397108998808948
150,5,0.621263459546172
150,6,0.5839250522944921
150,7,0.5890999918830436
150,8,0.3136500131900646
150,9,0.4442882046655894
150,10,0.3492027782161727
180,2,0.4558517118088459
180,3,0.6356543806021753
180,4,0.640073648090509
180,5,0.6287392327368403
180,6,0.5594074582970133
180,7,0.5522958522087501
180,8,0.46677780612733205
180,9,0.4025502885827814
180,10,0.38663924701435476
210,2,0.4613017937431898
210,3,0.5819357039734797
210,4,0.6452003409377055
210,5,0.6851119504952705
210,6,0.6597473885143411
210,7,0.6541817630977164
210,8,0.4918650356930206
210,9,0.3191388919267433
210,10,0.31898761500684314
240,2,0.5003418567179588
240,3,0.6925858959886414
240,4,0.7230230539738373
240,5,0.7352778680703348
240,6,0.7258124388446242
240,7,0.6334149313236422
240,8,0.4994460032132213
240,9,0.5333209987542723
240,10,0.42147338218676306
