Ns,layer,acc_tgt
6000,2,0.5809354400634765
6000,3,0.5647150039672851
6000,4,0.5286079406738281
6000,5,0.5194978332519531
6000,6,0.4922786331176758
18000,2,0.708254623413086
18000,3,0.7084212875366211
18000,4,0.6996444702148438
18000,5,0.694311752319336
18000,6,0.6920341873168946
24000,2,0.7482501983642579
24000,3,0.754138412475586
24000,4,0.7547494506835938
24000,5,0.7472502899169922
24000,6,0.7229196548461915
30000,2,0.8274080657958984
30000,3,0.8046883392333984
30000,4,0.79824462890625
30000,5,0.7856349182128907
30000,6,0.7841906356811523
36000,2,0.8554049301147462
36000,3,0.8527385711669923
36000,4,0.8369070053100586
36000,5,0.8274080657958984
36000,6,0.8182424163818359
42000,2,0.8777357864379883
42000,3,0.8647927856445312
42000,4,0.8574047088623047
42000,5,0.8574047088623047
42000,6,0.8488501358032227
48000,2,0.8861237716674805
48000,3,0.879902229309082
48000,4,0.8717364501953125
48000,5,0.8669036865234375
48000,6,0.8607932281494141
54000,2,0.8881790924072266
54000,3,0.8867903518676759
54000,4,0.8742917251586915
54000,5,0.868847885131836
54000,6,0.8644594955444336
