Ms,dcm,acc_tgt
60,0.25,0.3584286041784389
60,1.0,0.4172071573984931
60,4.0,0.4240429479264976
60,8.0,0.424184023369911
60,16.0,0.4025807731349821
60,24.0,0.4403506782026616
60,32.0,0.3373932556017896
120,0.25,0.4567408793285948
120,1.0,0.5142175258610736
120,4.0,0.5176298548325851
120,8.0,0.5168185961696777
120,16.0,0.4590190128439794
120,24.0,0.4551989153010672
120,32.0,0.4497815015096923
180,0.25,0.4842375723936093
180,1.0,0.5996450510197525
180,4.0,0.5641082941146143
180,8.0,0.49709055801346985
180,16.0,0.5173923384558042
180,24.0,0.5043624523932817
180,32.0,0.4999633949255401
240,0.25,0.49298779250063385
240,1.0,0.5812426188396557
240,4.0,0.5892543067130374
240,8.0,0.5674448628456911
240,16.0,0.5217529770986171
240,24.0,0.5229498010989907
240,32.0,0.5143572875507485
300,0.25,0.3974536231939712
300,1.0,0.6334796876262769
300,4.0,0.5863602293226391
300,8.0,0.6191924578802452
300,16.0,0.5525109946089367
300,24.0,0.5642143478511482
300,32.0,0.5271139500291839
360,0.25,0.5574786985117159
360,1.0,0.6436888718452849
360,4.0,0.6142621723684281
360,8.0,0.5727237844357643
360,16.0,0.5756525709316171
360,24.0,0.5394632668413802
360,32.0,0.5619503608049041
480,0.25,0.6242864730907476
480,1.0,0.6497200806038136
480,4.0,0.679907011303215
480,8.0,0.6857181047456979
480,16.0,0.6198042768020303
480,24.0,0.564796823791095
480,32.0,0.544770988621776
600,0.25,0.5740142846022518
600,1.0,0.6750082448987106
600,4.0,0.618988409488757
600,8.0,0.6769816105232902
