layer,acc_tgt,Ms
4,0.7022108612060547,117
5,0.628396842956543,117
6,0.673480712890625,117
7,0.6142428512573243,117
8,0.6263304061889648,117
4,0.717564712524414,234
5,0.6791023254394531,234
6,0.6896122436523437,234
7,0.6814131774902344,234
8,0.6851016540527344,234
4,0.7080546569824219,351
5,0.6820575408935546,351
6,0.7016109161376953,351
7,0.6888123321533203,351
8,0.6922563934326172,351
4,0.7298522186279297,819
5,0.7152316284179687,819
6,0.7298522338867187,819
7,0.7203421630859376,819
8,0.7177868957519532,819
