,Mt,alpha,acc_tgt,Ms
0,115,0.2,0.6831462860107422,234
1,115,0.4,0.6824241638183594,234
2,115,0.6,0.6145983505249023,234
3,115,0.8,0.5098322296142578,234
4,230,0.2,0.7281968688964844,234
5,230,0.4,0.7590267562866211,234
6,230,0.6,0.7442506408691406,234
7,230,0.8,0.7051438522338868,234
8,345,0.2,0.7510831832885743,234
9,345,0.4,0.7921342086791993,234
10,345,0.6,0.7964115142822266,234
11,345,0.8,0.7879679870605469,234
12,460,0.2,0.7740251159667969,234
13,460,0.4,0.8234640502929688,234
14,460,0.6,0.8264636993408203,234
15,460,0.8,0.8196311187744141,234
16,575,0.2,0.7759693145751954,234
17,575,0.4,0.8237417984008789,234
18,575,0.6,0.8425730514526367,234
19,575,0.8,0.828352394104004,234
20,690,0.2,0.7834684753417969,234
21,690,0.4,0.8391844940185547,234
22,690,0.6,0.8543495178222656,234
23,690,0.8,0.8516276168823242,234
24,115,0.2,0.7404177093505859,819
25,115,0.4,0.7168647766113282,819
26,115,0.6,0.6829240798950196,819
27,115,0.8,0.5633263015747071,819
28,230,0.2,0.781801986694336,819
29,230,0.4,0.7647483444213867,819
30,230,0.6,0.7518053436279297,819
31,230,0.8,0.7168092346191406,819
32,345,0.2,0.8163537216186524,819
33,345,0.4,0.8207976531982422,819
34,345,0.6,0.8150761032104492,819
35,345,0.8,0.7922452926635742,819
36,460,0.2,0.8362404251098633,819
37,460,0.4,0.8416842651367188,819
38,460,0.6,0.839517822265625,819
39,460,0.8,0.8134651565551758,819
40,575,0.2,0.8434062576293946,819
41,575,0.4,0.8536273574829102,819
42,575,0.6,0.8547383499145508,819
43,575,0.8,0.8347961044311524,819
44,690,0.2,0.8583490753173828,819
45,690,0.4,0.867736930847168,819
46,690,0.6,0.8638484191894531,819
47,690,0.8,0.8604043960571289,819
48,115,0.2,0.7610820770263672,1755
49,115,0.4,0.7189200973510742,1755
50,115,0.6,0.641373176574707,1755
51,115,0.8,0.5256637954711915,1755
52,230,0.2,0.7971891784667969,1755
53,230,0.4,0.7940784454345703,1755
54,230,0.6,0.7686923599243164,1755
55,230,0.8,0.7119208908081055,1755
56,345,0.2,0.8419620132446289,1755
57,345,0.4,0.8353516006469727,1755
58,345,0.6,0.8091323089599609,1755
59,345,0.8,0.785412712097168,1755
60,460,0.2,0.8608487701416015,1755
61,460,0.4,0.861570930480957,1755
62,460,0.6,0.8420730972290039,1755
63,460,0.8,0.8089656829833984,1755
64,575,0.2,0.8660148620605469,1755
65,575,0.4,0.8689034652709962,1755
66,575,0.6,0.8605154800415039,1755
67,575,0.8,0.8399066543579101,1755
68,690,0.2,0.876180419921875,1755
69,690,0.4,0.8812353897094727,1755
70,690,0.6,0.8751805114746094,1755
71,690,0.8,0.8584601593017578,1755
72,115,0.2,0.7465837097167969,2691
73,115,0.4,0.7258638000488281,2691
74,115,0.6,0.677146987915039,2691
75,115,0.8,0.5256638145446777,2691
76,230,0.2,0.8078546905517578,2691
77,230,0.4,0.8030774307250976,2691
78,230,0.6,0.76158203125,2691
79,230,0.8,0.7270303344726563,2691
80,345,0.2,0.8477391052246094,2691
81,345,0.4,0.8423508071899414,2691
82,345,0.6,0.813853988647461,2691
83,345,0.8,0.7886345672607422,2691
84,460,0.2,0.8586823272705079,2691
85,460,0.4,0.8630707550048828,2691
86,460,0.6,0.8423508453369141,2691
87,460,0.8,0.806465950012207,2691
88,575,0.2,0.8722364044189453,2691
89,575,0.4,0.8696255874633789,2691
90,575,0.6,0.8642928695678711,2691
91,575,0.8,0.8459615325927734,2691
92,690,0.2,0.8848461151123047,2691
93,690,0.4,0.8864570236206055,2691
94,690,0.6,0.8753471755981446,2691
95,690,0.8,0.8637373352050781,2691
